Branch,ISE 1 Marks,ISE 2 Marks,MSE Marks,ESE Marks
EXTC,5,5,15,48
CSE-DS,6,5,19,73
CSE-DS,6,7,20,67
CSE-DS,7,8,22,57
CSE-AIML,8,8,21,65
COMPS,8,6,22,84
CSE-AIML,5,4,16,62
CSE-DS,6,8,18,65
COMPS,6,8,24,64
CSE-AIML,6,8,20,63
CSE-AIML,7,5,18,54
CSE-AIML,6,8,18,66
EXTC,6,6,20,66
CSE-DS,7,8,21,60
CSE-DS,5,5,20,72
COMPS,4,5,16,61
CSE-AIML,7,6,19,64
CSE-DS,7,5,18,54
CSE-AIML,7,9,23,66
CSE-DS,8,7,22,71
CSE-AIML,10,8,25,65
CSE-DS,7,5,18,58
COMPS,8,8,20,63
CSE-AIML,5,5,16,54
CSE-DS,10,8,22,62
COMPS,8,10,22,52
COMPS,9,7,21,69
CSE-DS,3,5,15,62
CSE-AIML,5,7,17,60
EXTC,5,6,16,61
COMPS,8,6,21,54
COMPS,6,6,22,58
CSE-DS,9,8,24,83
EXTC,7,7,20,72
EXTC,8,6,18,58
EXTC,5,6,20,60
CSE-DS,6,7,21,48
CSE-AIML,6,7,22,63
COMPS,4,6,15,46
CSE-DS,6,6,17,41
EXTC,8,8,24,61
COMPS,6,6,19,67
COMPS,5,7,19,72
EXTC,8,8,23,79
EXTC,7,5,21,70
COMPS,6,6,19,65
COMPS,7,7,23,76
CSE-AIML,7,8,20,66
CSE-AIML,9,7,21,60
CSE-DS,5,5,16,46
COMPS,7,8,20,74
CSE-AIML,7,8,20,69
COMPS,5,7,19,66
EXTC,5,5,17,51
CSE-AIML,7,5,20,54
EXTC,7,7,19,66
EXTC,7,6,18,45
EXTC,7,5,19,60
CSE-DS,8,6,20,68
EXTC,7,7,21,53
CSE-DS,8,7,20,61
COMPS,6,6,19,72
COMPS,8,6,22,76
CSE-AIML,7,8,25,79
CSE-AIML,7,8,22,67
CSE-DS,6,8,19,73
COMPS,7,5,19,46
CSE-AIML,7,8,21,66
CSE-AIML,9,7,21,76
CSE-AIML,9,7,24,80
COMPS,5,6,20,76
CSE-AIML,7,5,22,63
COMPS,6,7,22,73
EXTC,7,7,21,69
EXTC,3,5,15,46
EXTC,7,6,22,78
CSE-DS,6,6,18,56
COMPS,7,5,17,63
CSE-AIML,7,5,20,58
CSE-DS,7,8,21,68
CSE-DS,6,6,18,54
EXTC,6,4,16,54
COMPS,6,6,18,64
CSE-AIML,8,6,18,52
CSE-DS,6,6,17,48
CSE-AIML,6,7,20,59
EXTC,6,5,17,52
COMPS,7,5,18,62
CSE-AIML,7,9,23,60
CSE-AIML,6,4,16,50
CSE-DS,8,6,20,58
CSE-AIML,9,7,26,79
COMPS,7,7,21,50
COMPS,6,8,20,52
CSE-AIML,6,8,23,68
CSE-DS,8,6,18,53
CSE-DS,9,7,22,64
EXTC,9,9,28,75
COMPS,7,5,21,56
EXTC,7,5,18,54
CSE-DS,6,6,18,66
EXTC,5,7,21,61
CSE-DS,5,6,19,63
EXTC,6,7,18,65
EXTC,7,6,18,53
COMPS,7,8,20,66
COMPS,3,5,14,46
EXTC,5,5,17,57
CSE-DS,3,3,11,51
CSE-DS,2,4,12,60
COMPS,6,7,20,47
COMPS,8,7,22,87
CSE-AIML,3,5,14,55
COMPS,6,6,18,62
CSE-DS,4,6,16,48
COMPS,6,8,20,66
CSE-AIML,5,7,20,77
EXTC,6,8,21,74
EXTC,5,7,18,60
CSE-DS,7,7,20,65
CSE-AIML,9,8,25,68
EXTC,5,7,20,74
EXTC,6,6,16,54
COMPS,8,6,22,65
EXTC,7,5,19,39
CSE-DS,6,4,19,67
EXTC,7,9,21,78
CSE-DS,8,6,22,58
CSE-DS,5,6,17,50
COMPS,8,6,21,60
CSE-AIML,4,6,13,51
CSE-DS,4,6,18,60
EXTC,8,6,21,66
EXTC,7,8,23,70
CSE-DS,4,5,15,56
EXTC,5,7,21,70
COMPS,7,6,18,60
EXTC,7,5,19,60
COMPS,4,5,15,69
CSE-DS,7,5,19,50
CSE-DS,8,6,20,73
CSE-DS,5,4,15,62
COMPS,4,2,12,54
EXTC,8,6,20,72
COMPS,4,6,17,61
EXTC,6,7,15,50
EXTC,7,5,19,65
COMPS,6,7,18,58
CSE-AIML,7,7,20,65
CSE-DS,8,6,22,64
EXTC,7,8,19,56
EXTC,6,5,20,57
COMPS,6,7,17,55
CSE-AIML,7,6,19,58
CSE-DS,4,6,19,62
CSE-AIML,7,8,19,74
CSE-DS,7,9,21,78
EXTC,8,7,22,65
EXTC,8,7,18,52
COMPS,6,7,19,71
COMPS,4,6,13,57
CSE-AIML,6,7,18,70
CSE-AIML,8,7,21,69
CSE-DS,5,7,21,73
COMPS,5,7,16,61
EXTC,7,5,17,56
COMPS,6,5,18,62
CSE-AIML,6,5,19,74
COMPS,6,6,19,59
EXTC,6,8,17,68
COMPS,7,6,19,61
CSE-AIML,4,6,17,61
EXTC,8,6,21,62
CSE-DS,8,6,20,58
CSE-DS,7,7,19,56
EXTC,6,5,19,59
EXTC,2,4,11,36
EXTC,5,7,21,67
CSE-AIML,6,7,19,56
EXTC,5,4,15,56
CSE-AIML,6,6,17,63
EXTC,5,7,17,52
CSE-AIML,4,6,18,64
CSE-AIML,8,7,20,61
COMPS,5,7,17,65
CSE-DS,8,9,23,73
EXTC,10,8,22,52
CSE-DS,8,6,20,66
CSE-DS,7,7,21,74
COMPS,5,5,15,61
CSE-DS,8,7,23,59
CSE-DS,9,9,26,86
EXTC,4,6,15,60
CSE-AIML,5,7,21,70
EXTC,7,5,17,67
EXTC,8,6,20,48
CSE-DS,5,7,16,58
CSE-DS,8,6,21,72
EXTC,7,9,20,71
EXTC,6,8,21,60
CSE-DS,7,5,20,65
CSE-AIML,7,8,22,68
CSE-AIML,5,5,18,70
EXTC,6,7,18,68
CSE-AIML,7,9,21,62
EXTC,7,7,20,56
COMPS,8,8,21,75
CSE-DS,8,7,22,71
EXTC,5,7,15,62
EXTC,4,6,16,55
EXTC,6,6,21,46
CSE-AIML,8,7,19,53
EXTC,9,7,21,74
COMPS,7,5,19,54
CSE-AIML,8,8,23,71
CSE-DS,9,7,21,68
