Branch,ISE 1 Marks,ISE 2 Marks,MSE Marks,ESE Marks
CSE-DS,6,6,17,43
COMPS,5,7,16,57
COMPS,9,8,26,76
CSE-AIML,8,6,19,41
EXTC,8,9,23,66
EXTC,5,7,20,50
COMPS,7,6,20,66
COMPS,6,6,18,67
EXTC,7,7,18,57
COMPS,8,7,23,81
CSE-AIML,8,7,21,46
CSE-AIML,6,6,19,60
CSE-DS,6,4,15,58
EXTC,9,7,23,75
COMPS,5,7,17,64
CSE-DS,7,7,19,67
CSE-AIML,10,8,24,72
EXTC,8,6,16,67
CSE-AIML,8,6,19,73
COMPS,9,8,23,69
CSE-DS,6,8,19,55
COMPS,8,6,23,63
COMPS,6,5,18,48
EXTC,6,4,18,65
EXTC,4,6,20,63
COMPS,6,8,18,60
EXTC,7,9,23,64
CSE-DS,5,6,16,57
CSE-DS,6,4,19,58
COMPS,5,6,18,46
CSE-DS,7,5,21,68
COMPS,6,5,17,63
CSE-DS,6,6,19,57
CSE-AIML,6,4,18,62
COMPS,5,7,19,54
CSE-DS,8,7,22,63
CSE-AIML,7,6,20,49
COMPS,6,8,19,57
CSE-DS,6,5,14,51
CSE-DS,7,6,19,62
CSE-AIML,8,6,20,61
EXTC,7,9,21,66
EXTC,7,5,19,51
CSE-AIML,4,6,16,58
CSE-AIML,6,5,17,49
COMPS,9,7,22,59
EXTC,7,6,19,68
COMPS,7,7,19,51
CSE-DS,7,6,21,64
CSE-AIML,7,5,22,65
COMPS,8,6,21,55
CSE-AIML,7,6,20,68
COMPS,5,5,17,74
CSE-DS,6,7,19,76
CSE-DS,4,6,14,34
EXTC,7,7,20,62
EXTC,10,8,25,67
CSE-DS,7,6,19,75
COMPS,8,7,18,57
CSE-AIML,10,8,26,84
CSE-DS,7,5,14,58
CSE-DS,5,7,16,55
COMPS,7,7,19,70
CSE-DS,6,4,16,57
CSE-DS,7,9,22,66
COMPS,5,7,19,58
CSE-DS,4,6,14,49
EXTC,7,5,16,41
EXTC,8,6,24,62
EXTC,5,6,18,56
EXTC,7,5,16,43
CSE-DS,3,5,14,48
CSE-AIML,8,8,22,53
EXTC,6,6,17,53
EXTC,6,6,17,60
CSE-DS,7,5,21,58
CSE-DS,4,6,15,57
COMPS,3,5,16,45
EXTC,4,6,15,48
COMPS,3,5,14,58
EXTC,4,4,15,62
CSE-AIML,4,6,17,66
CSE-DS,6,4,16,64
CSE-DS,5,6,17,36
COMPS,9,7,23,67
COMPS,8,7,21,58
CSE-DS,8,6,22,58
CSE-DS,8,7,23,69
CSE-DS,4,5,17,59
EXTC,8,7,20,57
EXTC,7,5,21,68
CSE-AIML,8,6,23,85
EXTC,5,7,19,50
CSE-DS,7,8,20,72
EXTC,4,4,15,55
COMPS,5,7,19,68
CSE-DS,6,7,19,77
EXTC,5,7,19,51
CSE-DS,9,7,24,79
COMPS,7,6,21,65
COMPS,8,6,21,60
EXTC,9,7,23,72
CSE-DS,5,7,22,69
CSE-AIML,9,7,21,65
COMPS,7,6,20,65
CSE-AIML,5,7,20,64
EXTC,8,6,21,56
COMPS,5,6,16,52
CSE-AIML,6,8,20,51
COMPS,8,6,20,66
CSE-AIML,7,8,22,60
CSE-DS,10,8,24,77
CSE-DS,7,7,24,68
EXTC,6,7,21,54
COMPS,4,6,14,50
CSE-AIML,7,5,16,57
EXTC,8,6,22,73
CSE-DS,8,8,26,70
CSE-DS,7,6,20,74
EXTC,4,5,18,68
COMPS,6,8,21,76
CSE-AIML,7,8,25,76
CSE-DS,7,8,21,82
EXTC,7,6,18,68
CSE-DS,8,6,21,54
CSE-DS,7,7,23,62
CSE-AIML,5,5,14,63
COMPS,9,7,25,73
COMPS,6,6,18,48
CSE-AIML,7,6,21,66
EXTC,6,5,18,66
EXTC,5,7,19,56
COMPS,6,7,18,62
CSE-DS,5,7,22,60
CSE-DS,7,5,20,54
EXTC,7,5,18,52
CSE-AIML,8,6,21,62
CSE-DS,6,7,18,62
EXTC,9,7,24,81
CSE-AIML,5,4,16,52
COMPS,9,7,21,56
CSE-AIML,8,6,21,72
COMPS,6,6,18,65
EXTC,7,6,20,60
CSE-AIML,4,6,20,56
EXTC,5,5,18,63
COMPS,6,5,18,48
CSE-DS,7,8,19,50
CSE-DS,9,7,24,68
COMPS,6,7,18,60
CSE-DS,6,5,18,58
CSE-DS,6,5,20,70
CSE-AIML,8,6,18,74
CSE-AIML,6,5,18,68
CSE-DS,6,8,22,58
CSE-AIML,5,7,14,52
COMPS,4,6,16,54
CSE-AIML,6,5,21,79
CSE-AIML,5,7,18,60
CSE-AIML,6,6,20,64
EXTC,6,5,16,44
COMPS,7,5,18,70
CSE-DS,8,6,20,77
CSE-DS,7,6,17,61
EXTC,8,6,21,62
CSE-AIML,6,4,16,64
COMPS,6,7,18,62
COMPS,6,5,20,70
CSE-DS,6,7,20,68
EXTC,4,6,16,54
EXTC,10,8,24,53
EXTC,9,7,21,62
EXTC,9,8,23,70
COMPS,6,7,20,70
CSE-AIML,8,7,21,70
CSE-DS,6,5,17,59
COMPS,8,6,18,60
EXTC,7,7,22,74
EXTC,6,6,17,63
CSE-DS,9,7,22,78
CSE-AIML,7,7,19,67
CSE-AIML,5,5,16,52
CSE-AIML,6,4,18,68
EXTC,4,6,15,61
COMPS,6,7,19,71
COMPS,5,7,20,68
CSE-AIML,10,8,26,72
CSE-DS,8,6,20,73
CSE-AIML,6,4,16,61
CSE-AIML,9,7,25,61
CSE-DS,6,6,18,60
CSE-AIML,8,6,21,64
CSE-DS,5,6,17,57
CSE-DS,7,7,20,73
COMPS,5,5,20,55
CSE-DS,4,6,13,50
CSE-AIML,10,8,21,54
CSE-DS,8,8,22,72
CSE-AIML,9,9,24,52
CSE-DS,5,6,17,57
COMPS,8,8,22,75
CSE-AIML,7,7,22,67
CSE-AIML,10,8,24,69
CSE-AIML,7,8,21,54
CSE-DS,8,8,19,61
COMPS,4,6,15,61
COMPS,7,5,20,52
COMPS,7,5,18,64
COMPS,7,9,22,69
CSE-DS,6,7,20,62
CSE-AIML,4,6,17,53
EXTC,5,7,19,60
COMPS,5,5,19,63
EXTC,6,7,18,71
CSE-DS,9,7,21,45
CSE-DS,4,4,15,52
EXTC,4,6,17,62
CSE-AIML,4,6,14,60
EXTC,8,6,19,58
CSE-DS,3,5,14,60
EXTC,5,6,15,47
COMPS,5,7,17,59
COMPS,6,5,17,62
CSE-AIML,5,7,17,54
EXTC,7,6,20,61
EXTC,7,5,15,60
EXTC,8,6,20,65
EXTC,8,6,19,59
CSE-AIML,8,10,24,59
CSE-DS,7,8,22,60
CSE-AIML,8,7,20,66
CSE-DS,8,8,22,64
CSE-DS,8,6,21,54
CSE-DS,8,6,23,72
EXTC,5,7,21,72
CSE-AIML,5,6,18,54
CSE-DS,9,7,18,62
COMPS,6,6,18,66
CSE-DS,8,7,21,64
CSE-AIML,7,5,19,65
EXTC,9,8,22,73
COMPS,5,7,18,52
CSE-DS,7,5,16,55
EXTC,7,6,17,52
CSE-AIML,7,7,20,72
CSE-AIML,7,5,18,49
COMPS,6,8,22,77
COMPS,6,8,20,74
CSE-DS,6,8,23,67
EXTC,7,8,21,55
EXTC,10,8,25,80
CSE-AIML,6,5,18,46
CSE-AIML,6,7,19,50
CSE-DS,9,7,25,70
CSE-DS,5,7,18,51
CSE-AIML,9,7,19,71
CSE-AIML,6,6,16,70
EXTC,5,7,20,66
EXTC,6,4,15,56
EXTC,5,7,20,70
CSE-DS,5,7,20,63
EXTC,8,10,22,65
COMPS,3,5,15,54
